lat,long,id_place,formatted_address
40.8113404,-73.9209643,ChIJzYTwY8T1wokR5EPhZLp9UzE,"340 Willis Ave, The Bronx, NY 10454, USA"
40.8713168,-73.8439969,ChIJBQj25ErzwokRNbiUdGeFTJQ,"3101 Eastchester Rd, The Bronx, NY 10469, USA"
40.5760038,-73.98840799999999,ChIJk362JcpFwokRUVkPelJCBEU,"2114 Mermaid Ave, Brooklyn, NY 11224, USA"
40.6326443,-73.9482357,ChIJ_z5yXU1bwokRNV32yiFMJkU,"13 Hillel Pl, Brooklyn, NY 11210, USA"
40.7927122,-73.97267219999999,ChIJzwJ8ooJYwokRwuK2KN_n9yM,"Advent Lutheran Church, 2504 Broadway, New York, NY 10025, USA"
40.813453,-73.9544556,ChIJwTismmv2wokREj6IJQgstEw,"429 W 127th St, New York, NY 10027, USA"
40.6992376,-73.8977049,ChIJN9mRJylcwokRII1gQ3gBxUM,"59-02 Summerfield St, Ridgewood, NY 11385, USA"
40.6915057,-73.86228559999999,ChIJ4afO5OZdwokRyUCT2uoH9IQ,"86-76 80th St, Woodhaven, NY 11421, USA"
40.6929117,-73.9459632,ChIJrU7C9fJbwokRREFft6Vr5BE,"182 Tompkins Ave, Brooklyn, NY 11206, USA"
40.6934778,-73.7805579,EisxMTEtNTQgTWVycmljayBCbHZkLCBKYW1haWNhLCBOWSAxMTQzMywgVVNBIhoSGAoUChIJSVMbrzFhwokRa_ZvRW3ELnQQNg,"111-54 Merrick Blvd, Jamaica, NY 11433, USA"
40.6326443,-73.9482357,ChIJ_z5yXU1bwokRNV32yiFMJkU,"13 Hillel Pl, Brooklyn, NY 11210, USA"
40.799702,-73.9447607,ChIJ02ONeQ_2wokRJRSJvPA5M1Q,"1765 Madison Ave, New York, NY 10029, USA"
40.799702,-73.9447607,ChIJ02ONeQ_2wokRJRSJvPA5M1Q,"1765 Madison Ave, New York, NY 10029, USA"
40.80661,-73.9441794,ChIJI1W7-Qz2wokRit9jMTSq6fg,"41 W 124th St, New York, NY 10027, USA"
40.7341504,-73.99575949999999,ChIJ64zjb5dZwokRU7iSrXDDfKs,"12 W 11th St, New York, NY 10011, USA"
40.8766745,-73.862719,ChIJOyJJgz_zwokRQF9f7yf9L5Y,"750 Tilden St, The Bronx, NY 10467, USA"
40.8026899,-73.9403842,EjAxNzUxIFBhcmsgQXZlIDNSRCBGTE9PUiwgTmV3IFlvcmssIE5ZIDEwMDM1LCBVU0EiJRojChYKFAoSCZlacmgJ9sKJEQr4ORFsJih6EgkzUkQgRkxPT1I,"1751 Park Ave 3RD FLOOR, New York, NY 10035, USA"
40.6378397,-73.8950732,ChIJ0XdBWtlcwokRmeLcJ9CQ7gs,"1772 Rockaway Pkwy, Brooklyn, NY 11236, USA"
40.6766108,-73.9497195,ChIJL6pRb5tbwokRsPDG2sqZOII,"1200 Dean St, Brooklyn, NY 11216, USA"
40.6023795,-73.996619,ChIJQXDz6QhFwokR9QoE4He5yRI,"8635 21st Ave, Brooklyn, NY 11214, USA"
40.60238,-73.996619,ChIJZTpXuAhFwokRs9EXNdIGA1U,"8635 21st Ave #1C, Brooklyn, NY 11214, USA"
40.7118149,-73.7684402,ChIJebRF_2xhwokRgaN0kfjHUrk,"9119 191st St, Hollis, NY 11423, USA"
40.8023207,-73.94342689999999,ChIJsQCMwQ72wokRLOlPtnc0kck,"1832 Madison Ave, New York, NY 10035, USA"
40.6478978,-73.95795199999999,ChIJD9VxykBbwokRHVvIuAN0VKw,"971 Flatbush Ave, Brooklyn, NY 11226, USA"
40.6897641,-73.79157649999999,ChIJz1ipHithwokRAZw6TxusoGA,"111-11 157th St, Jamaica, NY 11433, USA"
40.6706397,-73.9382776,ChIJXeUZN4BbwokRZ0Kf79lL0dE,"1208 St Johns Pl, Brooklyn, NY 11213, USA"
40.8114564,-73.94110979999999,ChIJf3FUZXT2wokRLlB5xBdva5Q,"54 W 132nd St #60, New York, NY 10037, USA"
40.58883100000001,-73.804643,ChIJh3KyHV1owokRlOduBplYr6I,"215 Beach 77th St, Arverne, NY 11692, USA"
40.692739,-73.788107,ChIJJ62Xpy5hwokRyda31mKQCH0,"110-25 Guy R Brewer Blvd, Jamaica, NY 11433, USA"
40.8308577,-73.908104,ChIJq8OiH0n0wokRYY-m1ZSKgvE,"3482 Park Ave, The Bronx, NY 10456, USA"
40.6817055,-73.96125789999999,ChIJVVRu6aJbwokR5Mj5Sj9QTjY,"457 Grand Ave, Brooklyn, NY 11238, USA"
40.7085878,-73.7810974,ChIJsdramRdhwokRdyBSKuo43QI,"17909 Jamaica Ave, Jamaica, NY 11432, USA"
40.7086165,-73.7810836,ChIJsdramRdhwokRci8F7kdnxOM,"179-09 Jamaica Ave, Jamaica, NY 11432, USA"
40.6806172,-73.9464757,ChIJWSh0X4VbwokRqnm6bRIxHd0,"956 Marcy Ave, Brooklyn, NY 11216, USA"
40.6900183,-73.7971438,ChIJD_JFI9VgwokRp2FTNEj0Vm8,"109-74 Sutphin Blvd, Jamaica, NY 11435, USA"
40.6804976,-73.9493262,ChIJITc4mJpbwokR7uT2KPPbVtg,"1297 Fulton St, Brooklyn, NY 11216, USA"
40.6837322,-73.87475529999999,ChIJgbku9sZdwokRcG7Os8JDCeE,"198 Euclid Ave, Brooklyn, NY 11208, USA"
40.61956,-73.9375091,ChIJq4Zw3adEwokRRFe7EMwonsk,"3846 Flatlands Ave, Brooklyn, NY 11234, USA"
40.8221038,-73.9104924,ChIJvUwTEbX1wokRjWZih2sDgow,"3144 3rd Ave, The Bronx, NY 10451, USA"
40.8172134,-73.8869057,ChIJGyfH7wD1wokRJMZAUtQK0vw,"812 Faile St, The Bronx, NY 10474, USA"
40.8070418,-73.9651341,ChIJDWzIrT72wokR5PfQIlk4F9Q,"601 W 114th St, New York, NY 10025, USA"
40.8868063,-73.8512592,ChIJhyZ0By_zwokRnr4FIJZ3XS4,"971 E 227th St, The Bronx, NY 10466, USA"
40.8422807,-73.90121429999999,ChIJuekjAmj0wokRzCHORKa89sI,"1695 Washington Ave, The Bronx, NY 10457, USA"
40.8149923,-73.9187996,ChIJR7XB-MX1wokRuemWzJFTDHQ,"495 Willis Ave, The Bronx, NY 10455, USA"
40.8326862,-73.9187597,ChIJr3S41jD0wokRXsWbtCJ_BRk,"1130 Grand Concourse, The Bronx, NY 10456, USA"
40.6888667,-73.9290235,ChIJ_zi4nnFcwokR0N1rCWyTBZ0,"919 Gates Ave, Brooklyn, NY 11221, USA"
40.6927803,-73.9917849,ChIJJ86OJ0lawokRXTSm9u6nhHY,"191 Joralemon St, Brooklyn, NY 11201, USA"
40.684338,-73.9658236,ChIJNYkCWbtbwokRikavPDHjlmM,"484 Washington Ave, Brooklyn, NY 11238, USA"
40.6600091,-73.9222158,ChIJa13VCY9cwokRZTTm0SR2TyM,"1089 Clarkson Ave, Brooklyn, NY 11212, USA"
40.71341169999999,-73.990831,ChIJ_83vESlawokRvDFa7F-7CQw,"139 Henry St, New York, NY 10002, USA"
40.5397375,-74.1604433,ChIJN8s1YVJKwokRI7g1wzGMi_0,"4055 Richmond Ave, Staten Island, NY 10312, USA"
40.6914526,-73.788009,ChIJtYS1bCxhwokRHkOO9A86cuU,"111-10 Guy R Brewer Blvd, Jamaica, NY 11433, USA"
40.6545479,-73.9611929,ChIJg2BIFRVbwokRWSVVwtHo4dk,"151 Woodruff Ave, Brooklyn, NY 11226, USA"
40.5768028,-73.9852527,ChIJZRT7hMpFwokRsnjqYQAFJFo,"2866 W 17th St, Brooklyn, NY 11224, USA"
40.6520088,-74.0047416,ChIJ2YH1CsdawokR9acQl-EdpvU,"443 39th St, Brooklyn, NY 11232, USA"
40.6883068,-73.9600512,ChIJk2xUGr5bwokRHxkiKOvHuxA,"352 Classon Ave #358, Brooklyn, NY 11238, USA"
40.6422446,-73.9017884,ChIJh_i02MJcwokRuWK6tUp38iQ,"1171 E 95th St, Brooklyn, NY 11236, USA"
40.6364859,-74.1647271,ChIJLfrPG6RNwokRj3RDcd7DH8c,"121 Grandview Ave, Staten Island, NY 10303, USA"
40.6384556,-73.9719144,ChIJqfQ47S1bwokRSeWOPuoe8Is,"Kensington & Parkville, 622 Cortelyou Rd, Brooklyn, NY 11218, USA"
40.6928618,-73.7995225,EioxMDgtMiBTdXRwaGluIEJsdmQsIEphbWFpY2EsIE5ZIDExNDM1LCBVU0EiGhIYChQKEgn7N5Rq1GDCiRH5ly6-M3_B7RAC,"108-2 Sutphin Blvd, Jamaica, NY 11435, USA"
40.6827393,-73.7698032,ChIJQctOdLVmwokRakC47TlJ9QI,"122-20 Merrill St, Jamaica, NY 11434, USA"
40.8698639,-73.87957449999999,ChIJuzZbXXDzwokR2VskNhyPkFc,"3021 Webster Ave, The Bronx, NY 10458, USA"
40.8457545,-73.8660957,ChIJDWEK35f0wokRstlNnQI1tMI,"1812 White Plains Rd, The Bronx, NY 10462, USA"
40.6542475,-73.90855309999999,ChIJ4YZSkOJcwokRJkb6uDCT3ac,"1400 Linden Blvd, Brooklyn, NY 11212, USA"
40.654275,-73.9331807,ChIJVVXl1J1cwokR6V5HswNeA08,"777 Schenectady Ave, Brooklyn, NY 11203, USA"
40.654275,-73.9331807,ChIJVVXl1J1cwokR6V5HswNeA08,"777 Schenectady Ave, Brooklyn, NY 11203, USA"
40.6048581,-74.0922882,ChIJu8bqp_FOwokRwbaKLdsqS9c,"900 Richmond Rd, Staten Island, NY 10304, USA"
40.6517502,-73.9183347,ChIJPdXtAZRcwokROG2rY-EyVE8,"627 Remsen Ave, Brooklyn, NY 11236, USA"
40.6724101,-73.9611779,ChIJH4aVmQpbwokRVtIRZOC5r-s,"836 Classon Ave, Brooklyn, NY 11238, USA"
40.6466749,-73.94889189999999,ChIJ7_m7XkNbwokRukdSOt2nYxE,"1615 Nostrand Ave, Brooklyn, NY 11226, USA"
40.674498,-73.94161299999999,ChIJRyJvV4FbwokRFvm7rhd5w6c,"922 St Marks Ave, Brooklyn, NY 11213, USA"
40.6602869,-73.9261375,ChIJd99rCYVcwokR9pdzzvLVGQ0,"1011 Winthrop St, Brooklyn, NY 11212, USA"
40.805083,-73.960405,ChIJe8wC7T32wokRPOjAQZoWTH4,"405 W 114th St, New York, NY 10025, USA"
40.6714166,-73.9225373,ChIJZ5fXa2NcwokRBB_NmuUabbI,"526 Ralph Ave, Brooklyn, NY 11233, USA"
40.81630450000001,-73.9530152,ChIJl0UTxm72wokRZKHoSa53Ne0,"88 Convent Ave, New York, NY 10027, USA"
40.8333764,-73.8662794,ChIJkS7rEur0wokRTk0FEOfR9nA,"1344 Beach Ave, The Bronx, NY 10472, USA"
40.8275004,-73.9445698,ChIJgS_inn32wokRFqY20tXroBM,"459 W 149th St, New York, NY 10031, USA"
40.7381373,-74.0003114,ChIJr4g7_L1ZwokRNWJyFCmnwdQ,"201 W 13th St, New York, NY 10011, USA"
40.7731213,-73.933889,ChIJ1ZJhm0xfwokRWifIaOC0IcE,"7-1 Astoria Blvd, Astoria, NY 11102, USA"
40.7008759,-73.94256140000002,ChIJBzqDGfpbwokR4cEIRl3E-7g,"736 Broadway, Brooklyn, NY 11206, USA"
40.6328169,-74.1628204,ChIJ6UKMmqVNwokRrEQQX1BoWxs,"22 Roxbury St, Staten Island, NY 10303, USA"
40.8217281,-73.9203167,ChIJ8YNfQ8z1wokRrR9P-rTNtAQ,"286 E 156th St, The Bronx, NY 10451, USA"
40.8151385,-73.9097575,ChIJ32yPn7f1wokRaQ40L-5fX14,"595 Trinity Ave, The Bronx, NY 10455, USA"
40.6221226,-74.0805633,ChIJyfq4pE1OwokRL7dowNMG7P8,"75 Hill St, Staten Island, NY 10304, USA"
40.8611117,-73.9240961,ChIJbRkqpwj0wokRElGxzI46Aho,"177 Nagle Ave, New York, NY 10034, USA"
40.8308796,-73.9419183,ChIJc64g1Yb2wokRDec_dqQNTzc,"454 W 155th St, New York, NY 10032, USA"
40.7555154,-73.9445939,ChIJwRPY1tlYwokRVN_upeuVUAA,"1025 41st Ave, Long Island City, NY 11101, USA"
40.7573397,-73.9727561,ChIJtQ-t6vxYwokRKR8MU208mHs,"108 E 51st St, New York, NY 10022, USA"
40.8244929,-73.89927899999999,ChIJFcrQilL0wokRw2PJ14D32Fo,"1034 Prospect Ave, The Bronx, NY 10459, USA"
40.700935,-73.89527799999999,ChIJSYAMhClcwokRVUyYPgVHPeA,"60-85 Myrtle Ave, Flushing, NY 11385, USA"
40.6401964,-74.13431539999999,ChIJ8TzmyedNwokRv-ZixnZvNog,"2134 Richmond Terrace, Staten Island, NY 10302, USA"
40.8068979,-73.965904,ChIJ_Zmh_Tv2wokRJWSf6nr4VgY,"616 W 114th St, New York, NY 10025, USA"
40.8341909,-73.941915,ChIJZ89tCoT2wokRQX-19hQnztI,"508 W 159th St, New York, NY 10032, USA"
40.6795939,-73.92128579999999,ChIJE4Ycm2VcwokRdCvjXbw0yWk,"Brooklyn, NY 11233, USA"
40.7014794,-73.9315437,ChIJjUuskgZcwokR7loZicZFnig,"43 George St, Brooklyn, NY 11206, USA"
40.7901,-73.97613880000002,ChIJv5Gtw4NYwokReB-yM2J8PBk,"257 W 88th St, New York, NY 10024, USA"
40.8802917,-73.83101669999999,ChIJmU4N7c-MwokRiZoeq7GKK6o,"1010 Baychester Ave, The Bronx, NY 10475, USA"
40.6103062,-73.9621403,ChIJu_U5CetEwokR3DzvCX6yGE8,"1935 Coney Island Ave, Brooklyn, NY 11230, USA"
40.6862124,-73.93550239999999,ChIJo7ibhHVcwokRf3ZoWRjK3gY,"562 Madison St, Brooklyn, NY 11221, USA"
40.6744942,-73.89700119999999,ChIJ-yfgO05cwokR8FDJSiaq_0o,"138 Pennsylvania Ave, Brooklyn, NY 11207, USA"
40.7538366,-73.8648073,ChIJYdrrpcBfwokRkJUgOXDNPak,"35-30 103rd St, Corona, NY 11368, USA"
40.7562049,-73.9021329,ChIJt7eWyBFfwokRZVzsvk_Zmw8,"31-30 61st St, Woodside, NY 11377, USA"
40.861678,-73.899134,ChIJ7a7riofzwokR05WtNS6yvbg,"114 E 188th St, The Bronx, NY 10468, USA"
40.861678,-73.899134,ChIJ7a7riofzwokR05WtNS6yvbg,"114 E 188th St, The Bronx, NY 10468, USA"
40.681781,-73.85392100000001,ChIJq0rB-e1dwokRQ9y6MOTM-o8,"85-12 101st Ave, Jamaica, NY 11416, USA"
40.7573397,-73.9727561,ChIJtQ-t6vxYwokRKR8MU208mHs,"108 E 51st St, New York, NY 10022, USA"
40.664688,-73.9346503,ChIJPZJs8oFcwokRKwUojXnVF_I,"899 Montgomery St, Brooklyn, NY 11213, USA"
40.6821256,-73.9771774,ChIJrYI0KKxbwokRsXB6hQ2hkxI,"424 Dean St, Brooklyn, NY 11217, USA"
40.8535636,-73.90847149999999,ChIJ45i4cnL0wokRw9UhyzuCBMk,"2038 Davidson Ave, The Bronx, NY 10453, USA"
40.674332,-73.804073,ChIJM6dJcSNnwokRVhflHvAXcy0,"134-10 Rockaway Blvd, Jamaica, NY 11420, USA"
40.82585600000001,-73.921089,ChIJg0mGKDP0wokRdzNxDRmMFIc,"198 E 161 St, The Bronx, NY 10451, USA"
40.8106875,-73.9483363,ChIJ9SGHXW32wokREvqJNV6R-g8,"W 127th St, New York, NY 10027, USA"
40.809875,-73.9458556,ChIJz1OuxHL2wokR2lk37aIl5TA,"127 W 127th St, New York, NY 10027, USA"
40.6339765,-74.0754038,ChIJfTZyaMtPwokRlMDv3fzqSow,"340 Bay St, Staten Island, NY 10301, USA"
40.7175647,-73.9794946,ChIJP7Bu-H5ZwokRzW-klxmo-3Q,"280 Rivington St, New York, NY 10002, USA"
40.6660724,-73.8860973,ChIJES5zDatdwokRAjNA9YIBwqI,"817 Livonia Ave, Brooklyn, NY 11207, USA"
40.8712717,-73.8470219,ChIJ5Wx7zUvzwokRdFiiq0aLj8E,"3154 Fish Ave, The Bronx, NY 10469, USA"
40.6675061,-73.9213317,ChIJiYqkgGJcwokRQk9HGurklDQ,"1234 E New York Ave, Brooklyn, NY 11212, USA"
40.6478978,-73.95795199999999,ChIJD9VxykBbwokRHVvIuAN0VKw,"971 Flatbush Ave, Brooklyn, NY 11226, USA"
40.75758020000001,-73.8611921,ChIJx2Vzsi5ewokRxGIgZRRw7eg,"33-16 108th St, Corona, NY 11368, USA"
40.6958539,-73.8358135,ChIJQ0eXW6tgwokRuD4nQqVLIXA,"87-47 111th St, Richmond Hill, NY 11418, USA"
40.695672,-73.836311,ChIJsy0Bb6tgwokRcsBDlHoSuZ8,"87-47 111th St, Richmond Hill, NY 11418, USA"
40.8316313,-73.8795329,ChIJi48jU_D0wokRtEe-DF6WMx4,"1310 Elder Ave, The Bronx, NY 10472, USA"
40.6478978,-73.95795199999999,ChIJD9VxykBbwokRHVvIuAN0VKw,"971 Flatbush Ave, Brooklyn, NY 11226, USA"
40.7286533,-73.8470852,ChIJE0SgLilewokR3TA6UHxPqSw,"67-09 108th St, Forest Hills, NY 11375, USA"
40.8613261,-73.9003685,ChIJd2eEA3j0wokRQ7DjR-tw_NM,"2427 Morris Ave, The Bronx, NY 10468, USA"
40.689163,-73.92280699999999,ChIJMRM4jRJcwokRxZBHZ7Saz1Y,"1014 Gates Ave, Brooklyn, NY 11221, USA"
40.8300414,-73.9439041,ChIJ8-SRE4f2wokRkQutXmTNdEU,"1875 Amsterdam Ave, New York, NY 10031, USA"
40.6641275,-73.9570145,ChIJV2Ut8XJbwokR1r7LPQDZBqk,"1727 Bedford Ave, Brooklyn, NY 11225, USA"
40.6841759,-73.9093614,ChIJ8yrTHCJcwokRJikd_lbcEBs,"1420 Bushwick Ave rm 370, Brooklyn, NY 11207, USA"
40.8258675,-73.9378107,ChIJSZOjvH_2wokR-OQkU9OrVsE,"276 W 151st St, New York, NY 10039, USA"
40.6302137,-74.0810942,ChIJAQlIdkpOwokRsBBs7KFVL6g,"309 St Pauls Ave, Staten Island, NY 10304, USA"
40.8217394,-73.84829140000001,ChIJo5oie9H0wokRu5ZsSAnXZEA,"720 Castle Hill Ave, The Bronx, NY 10473, USA"
40.6478978,-73.95795199999999,ChIJD9VxykBbwokRHVvIuAN0VKw,"971 Flatbush Ave, Brooklyn, NY 11226, USA"
40.7614838,-73.8688751,ChIJWV1zUZRfwokRb9xImQ95mJk,"100-10 Astoria Blvd, East Elmhurst, NY 11369, USA"
40.6901644,-73.7629087,ChIJ0S2UjE5hwokRRc6Dc64JNjg,"187-10 Baisley Blvd, Jamaica, NY 11412, USA"
40.6901644,-73.7629087,ChIJ0S2UjE5hwokRRc6Dc64JNjg,"187-10 Baisley Blvd, Jamaica, NY 11412, USA"
40.7057777,-73.7966576,ChIJAfvPEt9gwokR2SOKm7WPvME,"89-60 164th St, Jamaica, NY 11432, USA"
40.676147,-73.75492899999999,ChIJjVXr2ZtmwokR-e_xzA8-xYI,"216-02 137th Ave, Springfield Gardens, NY 11413, USA"
40.710745,-73.80196699999999,ChIJK5NkP-dgwokRsxH0Tv62wh4,"86-10 162nd St, Jamaica, NY 11432, USA"
40.6480944,-73.9590348,ChIJPwj0qkBbwokRsGGb9467Hik,"261 E 21st St, Brooklyn, NY 11226, USA"
40.8039977,-73.9549479,ChIJ_ZYCxBb2wokR7wIIfSQrkNU,"252 W 116th St, New York, NY 10026, USA"
40.67827219999999,-74.0137044,ChIJXQlamYlawokRPtnxEa7I6TQ,"165 Conover St, Brooklyn, NY 11231, USA"
40.7362951,-73.85012979999999,ChIJRxWv1ixewokRAwAi3LB1uZc,"108-25 62nd Dr, Forest Hills, NY 11375, USA"
40.7970441,-73.93436969999999,ChIJfeCgN_31wokR5dnJC0J2VjI,"2290 1st Avenue, New York, NY 10035, USA"
40.7970441,-73.93436969999999,ChIJfeCgN_31wokR5dnJC0J2VjI,"2290 1st Avenue, New York, NY 10035, USA"
40.7551316,-73.992355,ChIJl-_DGK1ZwokRGn9oPj7Y_QQ,"307 W 38th St, New York, NY 10018, USA"
40.7551316,-73.992355,ChIJl-_DGK1ZwokRGn9oPj7Y_QQ,"307 W 38th St, New York, NY 10018, USA"
40.706442,-73.762396999999993,ChIJo5JJ_mhhwokR4d4tS8BhQoU,"195-12 Hollis Ave, Jamaica, NY 11412, USA"
40.8430848,-73.88947350000001,ChIJp2YK02H0wokRzaezz8C_Neo,"771 Fairmount Pl, The Bronx, NY 10460, USA"
40.6642269,-73.9500479,ChIJDYgz93BbwokRVdKlolSDBvI,"357 Empire Blvd, Brooklyn, NY 11225, USA"
40.6608731,-73.75219740000001,ChIJe4Y6GJ9mwokRTX4zkMMaOd4,"145-41 228th St, St. Albans, NY 11413, USA"
40.8175255,-73.9043377,ChIJF7Ase7H1wokRU7UHVzQ9MO4,"800 E 156th St, The Bronx, NY 10455, USA"
40.6795939,-73.92128579999999,ChIJE4Ycm2VcwokRdCvjXbw0yWk,"Brooklyn, NY 11233, USA"
40.6537438,-73.93402360000002,ChIJNR-gcJ5cwokRoT11tcc6krg,"661 Linden Blvd, Brooklyn, NY 11203, USA"
40.674171,-73.922411,ChIJl4GK5WRcwokRq9JdPiAEiGk,"438 Ralph Ave, Brooklyn, NY 11233, USA"
40.6738933,-73.8845055,ChIJp2QxNrJdwokRBuctRTU0lmE,"442 Cleveland St, Brooklyn, NY 11208, USA"
40.8689397,-73.9210721,EiYxMDQgQ29vcGVyIFN0LCBOZXcgWW9yaywgTlkgMTAwMzQsIFVTQSIaEhgKFAoSCdMySNn288KJEfoamIE9PvUIEGg,"104 Cooper St, New York, NY 10034, USA"
40.8658136,-73.9199866,ChIJo5sK3PXzwokR2FGWYdqktIs,"W 207th St, New York, NY 10034, USA"
40.7035539,-73.766955,ChIJ9SkbwkFhwokReD744YqvE_8,"109-14 Farmers Blvd, Jamaica, NY 11412, USA"
40.8406082,-73.8835754,ChIJvVVlXIv0wokR4go0uekrTvs,"1909 Vyse Ave, The Bronx, NY 10460, USA"
